Identificator;Data sended;Response;Expected;Result
Reset;11 02;;51 02;
DIAG_Mes_0x5F-TC-5900;22 24 2C;;62 24 2C;
DIAG_Mes_0x5F-TC-5914;22 10 06;;62 10 06;
DIAG_Mes_0x5F-TC-11400;22 18 0C;;62 18 0C;
DIAG_Mes_0x5F-TC-8543;22 24 88;;62 24 88;
DIAG_Mes_0x5F-TC-11408;22 18 15;;62 18 15;
DIAG_Mes_0x5F-TC-11571;22 18 62;;62 18 62;
DIAG_Mes_0x5F-TC-11581;22 18 63;;62 18 63;
DIAG_Mes_0x5F-TC-11611;22 18 66;;62 18 66;
DIAG_Mes_0x5F-TC-6982;22 18 56;;62 18 56;
DIAG_Mes_0x5F-TC-6963;22 18 1B;;62 18 1B;
DIAG_Mes_0x5F-TC-11405;22 04 01;;62 04 01;
DIAG_Mes_0x5F-TC-8839;22 02 F9;;62 02 F9;
DIAG_Mes_0x5F-TC-7473;22 18 E8;;62 18 E8;
DIAG_Mes_0x5F-TC-11358;22 02 88;;62 02 88;
DIAG_Mes_0x5F-TC-7218;22 18 5A;;62 18 5A;
DIAG_Mes_0x5F-TC-7159;22 18 59;;62 18 59;
DIAG_Mes_0x5F-TC-7490;22 24 7C;;62 24 7C;
DIAG_Mes_0x5F-TC-7100;22 18 58;;62 18 58;
DIAG_Mes_0x5F-TC-7041;22 18 57;;62 18 57;
DIAG_Mes_0x5F-TC-8170;22 18 3B;;62 18 3B;
DIAG_Mes_0x5F-TC-8793;22 04 40;;62 04 40;
DIAG_Mes_0x5F-TC-8583;22 18 37;;62 18 37;
DIAG_Mes_0x5F-TC-7969;22 18 2C;;62 18 2C;
DIAG_Mes_0x5F-TC-7980;22 18 2D;;62 18 2D;
DIAG_Mes_0x5F-TC-8902;22 02 89;;62 02 89;
DIAG_Mes_0x5F-TC-8002;22 24 2F;;62 24 2F;
DIAG_Mes_0x5F-TC-11353;22 02 83;;62 02 83;
DIAG_Mes_0x5F-TC-8781;22 03 DE;;62 03 DE;